series_id,Driver,Team,stint_len,MAE_s,RMSE_s,MAPE_%
ALB_S1,ALB,Williams,32,0.3178173141479492,0.4312106773015138,0.3216972872386078
ALB_S2,ALB,Williams,10,0.9133502502441402,1.0278246408568583,0.9431193866299249
ALO_S1,ALO,Aston Martin,18,0.3020230034722218,0.39038308045681824,0.3082098383391989
ALO_S2,ALO,Aston Martin,26,0.457686683067909,0.5731195642633986,0.4710741185951375
ANT_S1,ANT,Mercedes,16,0.21649196243286273,0.3028189763768039,0.22252586873863292
ANT_S2,ANT,Mercedes,28,0.5754151022774826,0.767432597357746,0.5923061028746812
BEA_S1,BEA,Haas F1 Team,14,0.37715152413504527,0.48510650055762755,0.3839860674955234
BEA_S2,BEA,Haas F1 Team,30,0.6662752522786448,0.8568534814969384,0.6789510065837693
BOR_S1,BOR,Kick Sauber,4,0.3014426422119172,0.3510158669489007,0.30494463324930066
BOR_S2,BOR,Kick Sauber,39,0.6026653176332137,0.8146856011596768,0.6076482586520865
COL_S1,COL,Alpine,5,0.3044839599609361,0.32527823498927744,0.30831988288951967
COL_S2,COL,Alpine,38,0.8124494098864097,1.2777774982834733,0.8116312897178818
GAS_S1,GAS,Alpine,14,0.2655719560895652,0.3218349028788018,0.26856172331970823
GAS_S2,GAS,Alpine,17,0.7270519624597891,1.0377281674966894,0.7269375158720561
GAS_S3,GAS,Alpine,1,0.20515069580078205,0.20515069580078205,0.20902603855560295
HAD_S1,HAD,Racing Bulls,11,0.19299409068714432,0.2073255559024619,0.19597817302808804
HAD_S2,HAD,Racing Bulls,32,0.822112113952636,1.217823421675934,0.829237236629049
HAM_S1,HAM,Ferrari,15,0.2864328653971351,0.33737476492386076,0.29304301328503823
HAM_S2,HAM,Ferrari,12,0.17573355611165198,0.22115218184154165,0.18288608869362635
HAM_S3,HAM,Ferrari,7,4.546700988769534,8.176056765617087,3.898102301865024
HUL_S1,HUL,Kick Sauber,16,0.42134456634521467,0.5776820765883414,0.4264628650172168
HUL_S2,HUL,Kick Sauber,9,0.6871809149848107,0.9150946268315596,0.6907729333104453
HUL_S3,HUL,Kick Sauber,8,0.6604017868041971,0.8393147282232871,0.6722021090378626
LAW_S1,LAW,Racing Bulls,39,0.4499752087715358,0.6005049058154915,0.45406160729926914
LAW_S2,LAW,Racing Bulls,4,0.72025021362305,0.849191068867739,0.7450908213129157
LEC_S1,LEC,Ferrari,12,0.30525104268392056,0.3534594924553658,0.31299222893144896
LEC_S2,LEC,Ferrari,32,0.506652517318726,0.7448324467832551,0.516358484119251
NOR_S1,NOR,McLaren,17,0.19801330925436472,0.2560373889294028,0.20419388956842455
NOR_S2,NOR,McLaren,27,0.3455193843135128,0.4365885986618638,0.3572946860744301
OCO_S1,OCO,Haas F1 Team,21,0.23266557094029242,0.27946812885306105,0.23616586619503838
OCO_S2,OCO,Haas F1 Team,22,1.2366628972833809,1.6312818625745056,1.241207197114551
PIA_S1,PIA,McLaren,18,0.24751106770833312,0.30962937727020035,0.254896089844982
PIA_S2,PIA,McLaren,26,0.42025119018554646,0.5152852193935377,0.4358317650674712
RUS_S1,RUS,Mercedes,16,0.16322355270385724,0.1890788107979819,0.16853874720319678
RUS_S2,RUS,Mercedes,28,0.3569322487967348,0.5049735875446539,0.3682913486753256
SAI_S1,SAI,Williams,41,0.4356999362852529,0.5901239146252677,0.44130634822415254
SAI_S2,SAI,Williams,2,0.5653159790039126,0.5665621106997132,0.5942431560794892
STR_S1,STR,Aston Martin,29,0.26537014875740855,0.32747425479010567,0.2688710054278159
STR_S2,STR,Aston Martin,14,0.7043061392647881,1.0611142158977316,0.7170661099266639
TSU_S1,TSU,Red Bull Racing,4,0.49134408569335974,0.502353074269355,0.4962698746678188
TSU_S2,TSU,Red Bull Racing,39,0.5473935437324721,0.8616700661866195,0.5525166172487838
VER_S1,VER,Red Bull Racing,10,0.11848773803710913,0.14256896575900652,0.12182913414544938
VER_S2,VER,Red Bull Racing,34,0.3755082253848824,0.5007065876816055,0.3882359399719865
